"Measure - Percent"
"Statistic - Estimate"
"Race/Ethnicity - All"
"Sex - All"
"Location - U.S."
"Urbanicity - All"
"Year - 2011-2013"

Health Status;"Excellent/Very Good";"Excellent/Very Good";"Excellent/Very Good";"Excellent/Very Good";"Good";"Good";"Good";"Good";"Fair/Poor";"Fair/Poor";"Fair/Poor";"Fair/Poor"
Income;"All";"Poor";"Near poor";"Nonpoor";"All";"Poor";"Near poor";"Nonpoor";"All";"Poor";"Near poor";"Nonpoor"
"Age";
"All ages (age-adjusted)";67;49.1;57.2;73.90000000000001;23.4;29.2;27.9;20;9.699999999999999;21.7;14.9;6.1
"All ages (crude)";65.90000000000001;53.3;57.2;71.7;23.8;28.5;27.8;21.4;10.3;18.1;15;6.9
"0-17";83.2;71.5;79.8;89.59999999999999;14.9;24.3;18.1;9.5;1.9;4.2;2.1;0.9
"    0-4 years";85.7;75.90000000000001;83.8;91.90000000000001;12.9;21.1;14.9;7.5;1.4;3;1.4;0.6
"    5-17 years";82.3;69.40000000000001;78.2;88.8;15.6;25.8;19.4;10.2;2.1;4.8;2.4;1
"       5-9 years";83.3;71.5;80.2;90;14.8;24.6;17.8;9;1.9;3.9;2;1
"       10-17 years";81.59999999999999;67.90000000000001;77;88.09999999999999;16.2;26.7;20.4;10.9;2.2;5.4;2.6;1
"18+ (age-adjusted)";61.4;41.3;49.4;68.5;26.3;30.9;31.3;23.6;12.3;27.8;19.3;7.9
"18+ (crude)";60.4;43.8;48.6;67.09999999999999;26.7;30.8;31.5;24.5;12.9;25.4;19.9;8.4
"    18-44 years";71;56.1;63;77.90000000000001;22.6;30.2;28.2;18.6;6.4;13.7;8.699999999999999;3.5
"       18-24 years";76.59999999999999;67.7;72.2;83;19.5;25.3;23.1;15.1;3.9;6.9;4.7;2
"       25-44 years";69;48.6;58.9;76.40000000000001;23.7;33.4;30.6;19.6;7.3;18.1;10.5;3.9
"    45-64 years";54.7;25;35.3;62.8;28.8;31.7;33.9;27.4;16.5;43.3;30.9;9.800000000000001
"       45-54 years";57.6;27.5;39.3;66.09999999999999;28.2;33.1;34.7;26.1;14.1;39.4;26;7.8
"       55-64 years";51.3;21.8;30.4;59.2;29.5;30;32.8;28.8;19.2;48.2;36.8;12
"65+ years (age-adjusted)";42.9;23.7;31.8;49;33.4;31.8;36.2;32.8;23.7;44.5;32;18.2
"65+ years (crude)";43.2;23.8;31.7;50;33.3;31.8;36.2;32.6;23.4;44.5;32.1;17.5
"    65-74 years";47.5;22.5;32.3;54.6;32.3;30.7;35.7;31.5;20.2;46.8;32;13.9
"    75-84 years";39.8;24;31.6;46;34.7;34;37.1;33.9;25.4;42;31.3;20.1
"    85 and over";31.9;27.6;30;33.8;34.6;30.3;35.7;34.9;33.4;42.1;34.3;31.2
