"Measure - Percent"
"Statistic - Estimate"
"Race/Ethnicity - All"
"Location - U.S."
"Urbanicity - All"
"Year - 2011-2013"

"Met Guidelines","Aerobic activity","Aerobic activity","Aerobic activity","Muscle strengthening","Muscle strengthening","Muscle strengthening","Aerobic activity & muscle strengthening","Aerobic activity & muscle strengthening","Aerobic activity & muscle strengthening"
"Sex","All","Male","Female","All","Male","Female","All","Male","Female"
"Age","Income"
"18+ years (age-adjusted)","All",49.7,53.6,46.1,24.2,28.5,20.1,20.9,24.8,17.1
"18+ years (age-adjusted)","Poor",36.7,42.2,32.8,14.8,20.1,10.8,12,16.9,8.199999999999999
"18+ years (age-adjusted)","Near poor",39.2,42.5,36.3,17.8,22.3,13.8,14.2,17.9,11
"18+ years (age-adjusted)","Nonpoor",55.1,58.2,52.1,28,31.5,24.3,24.6,27.9,21.2
"18+ years (crude)","All",49.1,53.3,45.3,23.8,28.1,19.8,20.4,24.4,16.7
"18+ years (crude)","Poor",38.5,44.4,34.1,15.7,22,11.2,13,18.8,8.699999999999999
"18+ years (crude)","Near poor",38.5,42.7,35.1,17.5,22.5,13.4,13.9,18,10.4
"18+ years (crude)","Nonpoor",54.4,57.6,51.1,27.3,30.6,23.9,23.8,27,20.6
"    18-44 years","All",56.3,60.7,51.9,28.6,35.3,22.1,25.8,31.8,19.9
"    18-44 years","Poor",46.7,53.3,41.7,20.1,29.1,13.2,17.8,26.2,11.4
"    18-44 years","Near poor",48.6,53.1,44.5,23.1,30.4,16.6,19.8,25.7,14.5
"    18-44 years","Nonpoor",61.7,64.8,58.2,33,38.3,27.1,30.2,35,24.9
"       18-24 years","All",60.8,67.5,54,32.8,44.2,21.2,30.1,40.3,19.7
"       18-24 years","Poor",56.7,66.5,48.5,28.2,41.2,17.3,25.9,38.4,15.4
"       18-24 years","Near poor",56.5,64.59999999999999,49,30.4,43.6,18.1,27.1,38.4,16.7
"       18-24 years","Nonpoor",65.3,69.3,60.6,36.6,45.9,25.7,34,42.1,24.4
"       25-44 years","All",54.6,58.1,51.2,27.1,32,22.4,24.2,28.6,20
"       25-44 years","Poor",39.6,43,37.2,14.4,19.7,10.6,12,16.7,8.699999999999999
"       25-44 years","Near poor",44.8,47.6,42.3,19.7,24,15.8,16.4,19.6,13.5
"       25-44 years","Nonpoor",60.7,63.5,57.6,32,36.2,27.5,29.1,33,25
"    45-64 years","All",46,48.1,44.1,21,22.5,19.6,17.5,18.9,16.2
"    45-64 years","Poor",26.6,29.7,23.9,9.199999999999999,10.4,8.300000000000001,5.9,7.1,5
"    45-64 years","Near poor",30.3,31,29.6,12.7,13.7,11.8,8.9,9.6,8.199999999999999
"    45-64 years","Nonpoor",51.9,53.7,50.2,24.3,25.8,23,20.9,22.2,19.6
"       45-54 years","All",47.7,49.5,46.1,22.4,23.7,21.1,19,20.2,17.9
"       45-54 years","Poor",27.5,30.7,24.8,9.300000000000001,10.2,8.5,6.2,7.3,5.3
"       45-54 years","Near poor",31.8,32.9,30.9,13.5,14.2,12.9,9.5,10.2,8.9
"       45-54 years","Nonpoor",54,55.3,52.8,26.2,27.5,24.9,22.9,23.9,21.8
"       55-64 years","All",44.1,46.5,41.9,19.5,21.1,17.9,15.8,17.3,14.4
"       55-64 years","Poor",25.4,28.5,22.9,9.199999999999999,10.6,8,5.5,6.8,4.6
"       55-64 years","Near poor",28.4,28.7,28.1,11.7,13.2,10.4,8.1,9,7.3
"       55-64 years","Nonpoor",49.6,51.9,47.3,22.3,23.8,20.8,18.6,20.2,17.2
"65+ years (age-adjusted)","All",35.5,41.1,31.2,16.1,18,14.7,11.4,13.3,9.800000000000001
"65+ years (age-adjusted)","Poor",23.1,29.2,20.6,8,9.1,7.6,4.4,5.3,4
"65+ years (age-adjusted)","Near poor",25.5,29.8,22.9,10.3,12.3,9,6,7.9,4.8
"65+ years (age-adjusted)","Nonpoor",40.5,45.3,36.2,19.1,20.4,18,14.1,15.5,12.7
"65+ years (crude)","All",36.1,42.2,31.3,16.3,18.4,14.8,11.6,13.9,9.9
"65+ years (crude)","Poor",23,29.5,20,8,9.300000000000001,7.4,4.4,5.6,3.8
"65+ years (crude)","Near poor",24.8,29.3,22.1,10.1,12.1,8.9,5.7,7.7,4.6
"65+ years (crude)","Nonpoor",41.8,46.9,37.2,19.7,20.9,18.5,14.7,16.3,13.2
"    65-74 years","All",42.5,47.6,38,19,20.4,17.9,14.6,16.6,12.9
"    65-74 years","Poor",27.8,30.6,26.2,9.300000000000001,10.7,8.5,5.8,7.3,5
"    65-74 years","Near poor",29.6,35,26.1,11.3,13.8,9.699999999999999,7.6,10.2,6
"    65-74 years","Nonpoor",47.6,51.8,43.6,22.2,22.6,21.9,17.5,18.8,16.3
"    75-84 years","All",31.1,37.4,26.5,14,16.7,12,9,11.4,7.2
"    75-84 years","Poor",19,28.8,15.1,6.8,6.3,7,3.1,"*","*"
"    75-84 years","Near poor",23.7,27.7,21.4,9.4,11.2,8.300000000000001,4.9,6.7,3.9
"    75-84 years","Nonpoor",36.4,41.7,31.8,17.2,19.7,15,11.8,13.8,9.9
"    85 and over","All",18.5,24,15.4,9.699999999999999,11.3,8.800000000000001,4.4,4.8,4.2
"    85 and over","Poor",15,24.8,12.6,6.2,"*",5.1,"*","*","*"
"    85 and over","Near poor",13.3,13.4,13.2,8.4,8.5,8.300000000000001,2.2,"*",2.5
"    85 and over","Nonpoor",22.1,28.3,17.5,11.2,12.6,10.2,6.1,6.4,5.8
