"Measure - Percent"
"Statistic - Estimate"
"Race/ethnicity - All"
"Year - 2011-2013"

Gestational age;"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"All preterm (<37 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Moderately preterm (32-36 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)";"Very preterm (<32 wk.)"
Maternal age;"All";"< 18";"    10-14";"    15-17";"18-19";"20-24";"25-29";"30-34";"35-39";"40+";"All";"< 18";"    10-14";"    15-17";"18-19";"20-24";"25-29";"30-34";"35-39";"40+";"All";"< 18";"    10-14";"    15-17";"18-19";"20-24";"25-29";"30-34";"35-39";"40+"
"Location";
"Mississippi";16.8;20.6;27.5;20.1;16.9;16.7;15.7;16.9;19.3;22.3;14;16.5;19.8;16.3;13.7;13.9;13.1;14.1;15.9;18.5;2.9;4;7.6;3.8;3.2;2.7;2.6;2.8;3.4;3.8
"Louisiana";15.3;19.6;23.3;19.3;15.6;15.3;14.2;15.1;17.7;18.8;12.5;15.2;16.6;15.1;12.5;12.3;11.8;12.4;14.8;15.3;2.8;4.4;6.7;4.2;3.1;3;2.5;2.7;3;3.5
"District of Columbia";13.2;19.4;"*";18.9;15.3;15.1;14.1;11.2;11.6;14.4;10.5;16.5;"*";16.2;12.6;11.7;11;9;9.199999999999999;11.5;2.7;2.9;"*";"*";2.7;3.4;3.1;2.2;2.4;2.9
"Alabama";14.8;18;27.1;17.6;15.5;14.4;13.8;14.6;17.9;20.2;12;14;19;13.7;12.3;11.5;11.4;11.9;14.4;16.6;2.8;4.1;8.1;3.9;3.2;2.8;2.4;2.7;3.5;3.6
"South Carolina";13.8;17.5;22.8;17.2;14.6;13.7;12.7;13.3;16.2;18.4;11.3;13.2;14;13.2;12.1;11.2;10.4;10.9;13.1;15.1;2.6;4.2;"*";4;2.5;2.6;2.3;2.4;3;3.3
"Arkansas";13;14.4;19.1;14.2;13.8;12.6;12.4;12.9;15.3;18.7;11;11.7;15.8;11.5;11.6;10.6;10.6;11;12.8;15.9;2;2.7;"*";2.6;2.2;2;1.8;2;2.5;2.8
"Florida";13.4;15.9;22.4;15.7;14.1;13.1;12.4;13;15.1;19;11.3;12.8;16.9;12.6;11.6;10.9;10.5;11;12.7;15.6;2.2;3.1;5.5;3;2.6;2.2;1.9;2;2.4;3.3
"Kentucky";12.9;14.5;17;14.4;12.8;12.5;12.2;12.9;15.7;17.8;10.7;11.1;"*";11;10.5;10.4;10.2;10.7;13.1;15.5;2.2;3.4;"*";3.4;2.3;2.2;2;2.1;2.6;2.3
